Q,QUARTER,COUNTRY,GDP_DEFLATOR,GDP_REAL,TAX,GOVT_CONS,PRIVATE_CONS,INV,SHORT_TERM_INTEREST_RATE
1977,1977Q4,JAPAN,,,,,,,
1977.25,1977Q1,JAPAN,,,,,,,
1977.5,1977Q2,JAPAN,,,,,,,
1977.75,1977Q3,JAPAN,,,,,,,
1978,1978Q4,JAPAN,,,,,,,
1978.25,1978Q1,JAPAN,,,,,,,
1978.5,1978Q2,JAPAN,,,,,,,
1978.75,1978Q3,JAPAN,,,,,,,
1979,1979Q4,JAPAN,,,,,,,
1979.25,1979Q1,JAPAN,,,,,,,
1979.5,1979Q2,JAPAN,,,,,,,
1979.75,1979Q3,JAPAN,,,,,,,
1980,1980Q4,JAPAN,,,,,,,
1980.25,1980Q1,JAPAN,,,,,,,
1980.5,1980Q2,JAPAN,,,,,,,
1980.75,1980Q3,JAPAN,,,,,,,
1981,1981Q4,JAPAN,,,,,,,
1981.25,1981Q1,JAPAN,,,,,,,
1981.5,1981Q2,JAPAN,,,,,,,
1981.75,1981Q3,JAPAN,,,,,,,
1982,1982Q4,JAPAN,,,,,,,
1982.25,1982Q1,JAPAN,,,,,,,
1982.5,1982Q2,JAPAN,,,,,,,
1982.75,1982Q3,JAPAN,,,,,,,
1983,1983Q4,JAPAN,,,,,,,
1983.25,1983Q1,JAPAN,,,,,,,
1983.5,1983Q2,JAPAN,,,,,,,
1983.75,1983Q3,JAPAN,,,,,,,
1984,1984Q4,JAPAN,,,,,,,
1984.25,1984Q1,JAPAN,,,,,,,
1984.5,1984Q2,JAPAN,,,,,,,
1984.75,1984Q3,JAPAN,,,,,,,
1985,1985Q4,JAPAN,,,,,,,
1985.25,1985Q1,JAPAN,,,,,,,
1985.5,1985Q2,JAPAN,,,,,,,
1985.75,1985Q3,JAPAN,,,,,,,
1986,1986Q4,JAPAN,,,,,,,
1986.25,1986Q1,JAPAN,,,,,,,
1986.5,1986Q2,JAPAN,,,,,,,
1986.75,1986Q3,JAPAN,,,,,,,
1987,1987Q4,JAPAN,,,,,,,
1987.25,1987Q1,JAPAN,,,,,,,
1987.5,1987Q2,JAPAN,,,,,,,
1987.75,1987Q3,JAPAN,,,,,,,
1988,1988Q4,JAPAN,,,,,,,
1988.25,1988Q1,JAPAN,,,,,,,
1988.5,1988Q2,JAPAN,,,,,,,
1988.75,1988Q3,JAPAN,,,,,,,
1989,1989Q4,JAPAN,,,,,,,
1989.25,1989Q1,JAPAN,,,,,,,
1989.5,1989Q2,JAPAN,,,,,,,
1989.75,1989Q3,JAPAN,,,,,,,
1990,1990Q4,JAPAN,,,,,,,
1990.25,1990Q1,JAPAN,,,,,,,
1990.5,1990Q2,JAPAN,,,,,,,
1990.75,1990Q3,JAPAN,,,,,,,
1991,1991Q4,JAPAN,,,,,,,
1991.25,1991Q1,JAPAN,,,,,,,
1991.5,1991Q2,JAPAN,,,,,,,
1991.75,1991Q3,JAPAN,,,,,,,
1992,1992Q4,JAPAN,,,,,,,
1992.25,1992Q1,JAPAN,,,,,,,
1992.5,1992Q2,JAPAN,,,,,,,
1992.75,1992Q3,JAPAN,,,,,,,
1993,1993Q4,JAPAN,,,,,,,
1993.25,1993Q1,JAPAN,,,,,,,
1993.5,1993Q2,JAPAN,,,,,,,
1993.75,1993Q3,JAPAN,,,,,,,
1994,1994Q4,JAPAN,,,,,,,
1994.25,1994Q1,JAPAN,82.2,1223806,,179994,650335,366569,
1994.5,1994Q2,JAPAN,81.8,1222782,,183770,656020,358617,
1994.75,1994Q3,JAPAN,82.8,1232305,,185683,659937,365699,
1995,1995Q4,JAPAN,82.4,1334492,,203853,717362,390412,
1995.25,1995Q1,JAPAN,83.4,1343636,,206485,722494,394049,
1995.5,1995Q2,JAPAN,84.2,1354961,,207768,726003,401546,
1995.75,1995Q3,JAPAN,85.2,1371882,,210376,730402,414442,
1996,1996Q4,JAPAN,85.4,1189730,,183287,635770,360386,
1996.25,1996Q1,JAPAN,86.1,1193935,,183608,634412,367149,
1996.5,1996Q2,JAPAN,87.2,1209749,,185919,643876,376896,
1996.75,1996Q3,JAPAN,87.2,1208866,,187979,644075,373067,
1997,1997Q4,JAPAN,88.2,1097391,,169882,585161,337668,
1997.25,1997Q1,JAPAN,88.5,1100206,,171142,594485,329387,
1997.5,1997Q2,JAPAN,87.9,1104650,,172358,587781,332292,
1997.75,1997Q3,JAPAN,88.1,1105289,,171684,588849,333481,
1998,1998Q4,JAPAN,88.1,1022900,,160179,542032,304175,
1998.25,1998Q1,JAPAN,87.2,1011107,,160093,541125,293547,
1998.5,1998Q2,JAPAN,86.8,1005149,,159896,539798,286119,
1998.75,1998Q3,JAPAN,86.9,1003392,,160144,542252,282162,
1999,1999Q4,JAPAN,87.6,1164212,,188015,624319,329860,
1999.25,1999Q1,JAPAN,86.5,1142960,,187751,624285,310944,
1999.5,1999Q2,JAPAN,86.8,1142505,,188902,623970,311811,
1999.75,1999Q3,JAPAN,87.3,1141791,,188248,627577,309373,
2000,2000Q4,JAPAN,87.3,1204574,,199776,662003,324660,
2000.25,2000Q1,JAPAN,88.9,1221977,,203116,665956,332958,
2000.5,2000Q2,JAPAN,89.2,1220833,,205198,662214,333846,
2000.75,2000Q3,JAPAN,89.2,1218836,,207557,661737,332091,
2001,2001Q4,JAPAN,90.1,1088430,,184180,592858,299364,
2001.25,2001Q1,JAPAN,90.6,1095912,,186911,595947,304967,
2001.5,2001Q2,JAPAN,90.2,1082107,,188067,597605,291408,
2001.75,2001Q3,JAPAN,89.2,1067413,,189160,594831,277571,
2002,2002Q4,JAPAN,89,1028402,,184568,572680,261627,
2002.25,2002Q1,JAPAN,89.1,1031304,,188976,574132,255587,
2002.5,2002Q2,JAPAN,89.8,1028552,,185002,576786,251170,0.09
2002.75,2002Q3,JAPAN,90.1,1027655,,186148,575427,253637,0.08
2003,2003Q4,JAPAN,90.3,1112316,,200805,619626,275699,0.0867
2003.25,2003Q1,JAPAN,90.4,1105976,,200530,621538,270779,0.09
2003.5,2003Q2,JAPAN,90.9,1112855,,204196,617915,271797,0.0833
2003.75,2003Q3,JAPAN,91.3,1112824,,203174,616126,273514,0.09
2004,2004Q4,JAPAN,92.3,1196729,,214881,667150,290071,0.09
2004.25,2004Q1,JAPAN,93,1203259,,216426,666674,294664,0.0867
2004.5,2004Q2,JAPAN,93,1200018,,217124,666766,290550,0.0833
2004.75,2004Q3,JAPAN,93.5,1206030,,218082,670428,293626,0.09
2005,2005Q4,JAPAN,93.4,1183304,,215290,656640,289585,0.0933
2005.25,2005Q1,JAPAN,93.8,1183806,,214706,657427,292835,0.0933
2005.5,2005Q2,JAPAN,94.4,1186806,,215178,659646,293730,0.0833
2005.75,2005Q3,JAPAN,95.3,1193397,,215346,664295,298236,0.09
2006,2006Q4,JAPAN,95.5,1130901,,204687,629750,278398,0.0933
2006.25,2006Q1,JAPAN,95.7,1130848,,203686,634300,278580,0.113
2006.5,2006Q2,JAPAN,95.9,1130679,,203601,632708,279920,0.2533
2006.75,2006Q3,JAPAN,95.7,1126744,,203128,628738,279190,0.436
2007,2007Q4,JAPAN,97,1127565,,200176,627960,280514,0.4963
2007.25,2007Q1,JAPAN,97.7,1132791,,200442,627484,283884,0.62
2007.5,2007Q2,JAPAN,97.8,1134159,,203040,631393,278169,0.6833
2007.75,2007Q3,JAPAN,97.3,1123118,,201802,625305,271634,0.82
2008,2008Q4,JAPAN,97.8,1279960,,232761,716533,309627,0.86
2008.25,2008Q1,JAPAN,98,1280509,,233014,721625,308872,0.8467
2008.5,2008Q2,JAPAN,97.7,1273403,,230986,714893,315011,0.8467
2008.75,2008Q3,JAPAN,96.5,1248595,,229369,716075,301104,0.8567
2009,2009Q4,JAPAN,94.1,1362212,,255624,772240,343219,0.8367
2009.25,2009Q1,JAPAN,89.6,1298833,,253850,761412,293504,0.6933
2009.5,2009Q2,JAPAN,91.5,1314193,,255539,765079,283868,0.5767
2009.75,2009Q3,JAPAN,91.5,1304187,,258357,765239,268757,0.5433
2010,2010Q4,JAPAN,92.8,1399889,,276585,817991,287673,0.5
2010.25,2010Q1,JAPAN,93.6,1412007,,275159,818307,296158,0.44
2010.5,2010Q2,JAPAN,94.9,1424108,,278336,824347,299829,0.39
2010.75,2010Q3,JAPAN,96.6,1440463,,279313,829398,309948,0.3633
2011,2011Q4,JAPAN,95.8,1566610,109321,306530,901311,339220,0.34
2011.25,2011Q1,JAPAN,94.4,1541999,156143,309873,885742,338521,0.3387
2011.5,2011Q2,JAPAN,93.8,1518698,192631,310716,890403,334239,0.3324
2011.75,2011Q3,JAPAN,96.2,1551562,67251,311441,902976,343389,0.33
2012,2012Q4,JAPAN,96,1548789,124983,311826,908313,346683,0.3293
2012.25,2012Q1,JAPAN,97.2,1569753,147849,315836,913472,356315,0.3314
2012.5,2012Q2,JAPAN,96.5,1548963,2382,311945,910664,350038,0.3326
2012.75,2012Q3,JAPAN,96.1,1540834,86014,313792,903065,349856,0.3273
2013,2013Q4,JAPAN,96.3,1262734,89374,257872,743856,285712,0.3176
2013.25,2013Q1,JAPAN,97.5,1276739,122659,258710,753345,289146,0.2703
2013.5,2013Q2,JAPAN,98.3,1285450,2099,260132,758135,291039,0.2282
2013.75,2013Q3,JAPAN,99.1,1298086,73772,260858,763243,303636,0.228
2014,2014Q4,JAPAN,99.1,1196403,82581,239927,706029,288453,0.2203
2014.25,2014Q1,JAPAN,100.1,1209614,122044,241626,722473,288755,0.2147
2014.5,2014Q2,JAPAN,98.1,1209855,2046,244169,699683,293031,0.2107
2014.75,2014Q3,JAPAN,98.2,1211216,76024,245740,704780,289005,0.21
2015,2015Q4,JAPAN,98.7,1068756,79831,215802,617729,253215,0.1843
2015.25,2015Q1,JAPAN,100.1,1093797,114994,216991,620013,262815,0.1713
2015.5,2015Q2,JAPAN,100.2,1098471,1666,216208,621934,266058,0.1693
2015.75,2015Q3,JAPAN,100.1,1100860,73300,217121,623723,263983,0.169
2016,2016Q4,JAPAN,99.7,1221389,90826,244665,688301,291048,0.169
2016.25,2016Q1,JAPAN,100.2,1230185,146016,247306,685919,287457,0.1217
2016.5,2016Q2,JAPAN,100.4,1227940,1767,243250,682537,291266,0.0597
2016.75,2016Q3,JAPAN,100.6,1229703,65673,244121,685093,286720,0.0573
2017,2017Q4,JAPAN,100.9,1196284,107585,237760,666314,278043,0.056
2017.25,2017Q1,JAPAN,102.1,1205346,136565,238411,671763,285555,0.056
2017.5,2017Q2,JAPAN,102.4,1210032,1703,237510,676223,288903,0.056
2017.75,2017Q3,JAPAN,103,1222955,79650,238341,672018,295411,0.0623
2018,2018Q4,JAPAN,103.5,1247734,101513,244432,688522,303727,0.063
2018.25,2018Q1,JAPAN,103,1240603,150519,245551,688600,297818,0.0777
2018.5,2018Q2,JAPAN,103.4,1242719,1669,245777,687489,303200,0.0843
2018.75,2018Q3,JAPAN,102.5,1234573,85928,245612,689143,297842,0.0773
2019,2019Q4,JAPAN,103.1,1253038,106346,247840,701193,311493,0.05
2019.25,2019Q1,JAPAN,103.9,1268369,156305,250650,700874,311935,0.0367
2019.5,2019Q2,JAPAN,104.3,1274202,1832,254129,705119,314949,0.0493
2019.75,2019Q3,JAPAN,104.3,1279442,80569,256186,708795,315045,0.0223
2020,2020Q4,JAPAN,102.5,,,,,,0.016
2020.25,2020Q1,JAPAN,101.9,,,,,,0.016
2020.5,2020Q2,JAPAN,93.8,,,,,,-0.041
1961.25,1961Q1,UK,27.7,17188,,2795,11133,,
1961.5,1961Q2,UK,27.8,17185,,2818,11253,,
1961.75,1961Q3,UK,27.6,17778,,2855,11445,,
1962,1962Q4,UK,27.6,17578,,2828,11520,,
1962.25,1962Q1,UK,27.7,17820,,2973,11765,,
1962.5,1962Q2,UK,28,18253,,3015,12125,,
1962.75,1962Q3,UK,28.1,18438,,3043,12055,,
1963,1963Q4,UK,28,18530,,3050,12220,,
1963.25,1963Q1,UK,28.2,18410,,2945,12388,,
1963.5,1963Q2,UK,29.4,19370,,3008,12790,,
1963.75,1963Q3,UK,29.5,19668,,3078,12980,,
1964,1964Q4,UK,30.2,20278,,3123,13163,,
1964.25,1964Q1,UK,30.4,20348,,3168,13378,,
1964.5,1964Q2,UK,30.9,21058,,3235,13568,,
1964.75,1964Q3,UK,31.1,21513,,3290,13870,,
1965,1965Q4,UK,31.5,22100,,3318,14235,,
1965.25,1965Q1,UK,31.4,22525,,3478,14415,,
1965.5,1965Q2,UK,31.5,22635,,3668,14518,,
1965.75,1965Q3,UK,31.7,23188,,3740,14833,,
1966,1966Q4,UK,31.9,23638,,3830,15095,,
1966.25,1966Q1,UK,32,24003,,3853,15360,,
1966.5,1966Q2,UK,32.2,24418,,4018,15653,,
1966.75,1966Q3,UK,32.3,24873,,4103,15640,,
1967,1967Q4,UK,32.1,25125,,4188,15890,,
1967.25,1967Q1,UK,32.6,25385,,4348,16033,,
1967.5,1967Q2,UK,33,26023,,4395,16278,,
1967.75,1967Q3,UK,33.2,26203,,4470,16738,,
1968,1968Q4,UK,33.3,26540,,4588,17120,,
1968.25,1968Q1,UK,34.6,27740,,4713,17840,,
1968.5,1968Q2,UK,34.4,28073,,4725,17498,,
1968.75,1968Q3,UK,35.1,28965,,4815,17980,,
1969,1969Q4,UK,35.2,29703,,4828,18440,,
1969.25,1969Q1,UK,35.2,30220,,4938,18775,,
1969.5,1969Q2,UK,35.4,30678,,5000,19018,,
1969.75,1969Q3,UK,35.6,31358,,5113,19195,,
1970,1970Q4,UK,35.8,32185,,5235,19758,,
1970.25,1970Q1,UK,35.6,33068,,5330,20198,,
1970.5,1970Q2,UK,36.4,34513,,5700,20713,,
1970.75,1970Q3,UK,36.8,35645,,5868,21350,,
1971,1971Q4,UK,37.1,36913,,6005,21978,,
1971.25,1971Q1,UK,36.9,37453,,6123,22510,,
1971.5,1971Q2,UK,37.5,38710,,6498,23448,,
1971.75,1971Q3,UK,38.2,39945,,6688,24088,,
1972,1972Q4,UK,38.3,40945,,6838,24695,,
1972.25,1972Q1,UK,38.4,41448,,7145,25538,,
1972.5,1972Q2,UK,39.4,43423,,7268,26400,,
1972.75,1972Q3,UK,39.5,44353,,7558,27383,,
1973,1973Q4,UK,40.1,47025,,7875,28570,,
1973.25,1973Q1,UK,42.1,50075,,8165,30208,,
1973.5,1973Q2,UK,42.2,49628,,8350,30418,,
1973.75,1973Q3,UK,41.8,51340,,8715,31353,,
1974,1974Q4,UK,41.6,53215,,8975,32588,,
1974.25,1974Q1,UK,40.5,52770,,9443,33748,,
1974.5,1974Q2,UK,41.1,56565,,10028,35323,,
1974.75,1974Q3,UK,41.3,59685,,11045,37198,,
1975,1975Q4,UK,40.7,49956,,9720,31490,,
1975.25,1975Q1,UK,40.8,53598,,11098,33552,,
1975.5,1975Q2,UK,40.1,56222,,11376,35436,,
1975.75,1975Q3,UK,39.9,58482,,12086,36480,,
1976,1976Q4,UK,40.4,51453,,10523,31683,,
1976.25,1976Q1,UK,41,54012,,10922,33163,,
1976.5,1976Q2,UK,41,55438,,11498,34198,,
1976.75,1976Q3,UK,41.5,57470,,11687,35453,,
1977,1977Q4,UK,42.4,61012,,11888,37372,,
1977.25,1977Q1,UK,42.4,63278,,12020,38358,,
1977.5,1977Q2,UK,42.1,65285,,12465,39522,,
1977.75,1977Q3,UK,42.4,67117,,12692,40720,,
1978,1978Q4,UK,43.1,84188,,15522,50712,,
1978.25,1978Q1,UK,43.5,88134,,16294,53568,,
1978.5,1978Q2,UK,44,91662,,16746,54650,,
1978.75,1978Q3,UK,44.6,94256,,17178,56888,,
1979,1979Q4,UK,45,97662,,17806,58450,,
1979.25,1979Q1,UK,44.8,100756,,18190,61134,,
1979.5,1979Q2,UK,46.8,107766,,19236,66002,,
1979.75,1979Q3,UK,45.8,113368,,20206,67666,,
1980,1980Q4,UK,46.3,149283,,26573,89350,,
1980.25,1980Q1,UK,45.8,155055,,28350,94430,,
1980.5,1980Q2,UK,44.9,159055,,29950,95363,,
1980.75,1980Q3,UK,44.9,164865,,32078,98803,,
1981,1981Q4,UK,44.4,136128,,26764,80934,,
1981.25,1981Q1,UK,44.3,139628,,26954,84476,,
1981.5,1981Q2,UK,44.4,142356,,27814,86742,,
1981.75,1981Q3,UK,44.9,146272,,28452,88858,,
1982,1982Q4,UK,45,125705,,23838,76353,,
1982.25,1982Q1,UK,45,128845,,24757,78297,,
1982.5,1982Q2,UK,45.5,131397,,25450,79542,,
1982.75,1982Q3,UK,45.6,133823,,25407,81797,,
1983,1983Q4,UK,46,117900,,22209,72331,,
1983.25,1983Q1,UK,46.8,122106,,23364,74471,,
1983.5,1983Q2,UK,47.2,123240,,23500,75740,,
1983.75,1983Q3,UK,47.7,126316,,23431,77729,,
1984,1984Q4,UK,48.1,113381,,20950,69044,,
1984.25,1984Q1,UK,48.5,114364,,20766,70398,,
1984.5,1984Q2,UK,48,116735,,21831,72074,,
1984.75,1984Q3,UK,48.3,118395,,22301,72563,,
1985,1985Q4,UK,49.3,122435,,22603,74901,,
1985.25,1985Q1,UK,49.7,123493,,22533,76588,,
1985.5,1985Q2,UK,50.8,129279,,22708,78165,,
1985.75,1985Q3,UK,50.8,131245,,23026,80449,,
1986,1986Q4,UK,50.9,153144,,26537,94077,,
1986.25,1986Q1,UK,51.5,155020,,27391,96980,,12.4529
1986.5,1986Q2,UK,51.9,157609,,28323,99477,,10.2222
1986.75,1986Q3,UK,52.1,160233,,28506,101259,,10.0404
1987,1987Q4,UK,53.1,192695,,33725,120237,,11.2716
1987.25,1987Q1,UK,53.5,196630,,34252,123083,,10.6691
1987.5,1987Q2,UK,54.3,203038,,35570,126357,,9.2117
1987.75,1987Q3,UK,55.7,211328,,36133,130332,,9.8479
1988,1988Q4,UK,56.3,215877,,36768,133985,,8.9997
1988.25,1988Q1,UK,57.3,221837,,37230,138817,,9.0293
1988.5,1988Q2,UK,57.6,226902,,38350,142560,,8.4721
1988.75,1988Q3,UK,58.5,234713,,38508,147135,,11.4028
1989,1989Q4,UK,59,242533,,39967,150288,,12.5066
1989.25,1989Q1,UK,59.3,247595,,40477,153633,,13.0959
1989.5,1989Q2,UK,59.7,252318,,41245,157390,,13.5294
1989.75,1989Q3,UK,59.7,259280,,42688,159815,,13.977
1990,1990Q4,UK,59.8,264987,,43595,163258,,15.1247
1990.25,1990Q1,UK,60.2,270292,,44357,166603,,15.2215
1990.5,1990Q2,UK,60.5,277815,,46003,171507,,15.1549
1990.75,1990Q3,UK,59.9,283002,,47555,174185,,14.9845
1991,1991Q4,UK,59.6,283750,,48452,176913,,13.875
1991.25,1991Q1,UK,59.5,288835,,49177,179873,,13.2563
1991.5,1991Q2,UK,59.4,292340,,50865,182945,,11.6262
1991.75,1991Q3,UK,59.3,295083,,52355,185435,,10.799
1992,1992Q4,UK,59.4,299488,,53080,187773,,10.6121
1992.25,1992Q1,UK,59.4,302228,,54030,189278,,10.6028
1992.5,1992Q2,UK,59.3,302925,,54653,192232,,10.2715
1992.75,1992Q3,UK,59.7,303683,,55505,194403,,10.2173
1993,1993Q4,UK,60.1,264656,,48036,168349,,7.6306
1993.25,1993Q1,UK,60.5,270999,,48531,172200,,6.4155
1993.5,1993Q2,UK,60.8,271613,,47451,173981,,6.0066
1993.75,1993Q3,UK,61.3,276394,,48207,177787,,5.9592
1994,1994Q4,UK,61.7,279770,,48709,180486,,5.6013
1994.25,1994Q1,UK,62.4,283951,,49669,182080,,5.3114
1994.5,1994Q2,UK,63.2,286443,,49324,183631,,5.235
1994.75,1994Q3,UK,63.9,289809,,50537,185641,,5.5373
1995,1995Q4,UK,64.3,345545,,59568,219495,,6.1756
1995.25,1995Q1,UK,64.6,347370,,59957,221533,60652,6.7224
1995.5,1995Q2,UK,64.8,351420,,60592,224895,66885,6.7424
1995.75,1995Q3,UK,65.4,357402,,60753,228745,69460,6.8493
1996,1996Q4,UK,65.5,360745,,61610,232165,65828,6.6962
1996.25,1996Q1,UK,66.1,367612,,63648,236810,68093,6.2775
1996.5,1996Q2,UK,66.3,375587,,62705,241390,71215,6.0453
1996.75,1996Q3,UK,66.9,382250,,62972,245442,72683,5.8406
1997,1997Q4,UK,67.4,386627,,63385,249612,71578,6.279
1997.25,1997Q1,UK,68.3,390843,,64288,254408,67997,6.3358
1997.5,1997Q2,UK,68.9,393170,,62845,257537,72687,6.5504
1997.75,1997Q3,UK,69.4,404160,,63458,263113,73737,7.1939
1998,1998Q4,UK,70.3,398970,,65483,265812,67868,7.5667
1998.25,1998Q1,UK,70.9,405865,,66325,268698,71255,7.5654
1998.5,1998Q2,UK,71.5,411003,,66200,273033,74667,7.5791
1998.75,1998Q3,UK,72,416093,,67283,279257,72470,7.6674
1999,1999Q4,UK,72.7,427663,,68192,279445,84052,6.8851
1999.25,1999Q1,UK,73.2,429958,124423,70370,284903,81862,5.6255
1999.5,1999Q2,UK,73.3,427345,99805,71327,287440,74758,5.2959
1999.75,1999Q3,UK,74.7,433883,116832,72475,288690,78470,5.2772
2000,2000Q4,UK,75.8,378829,105314,62693,251494,68877,5.9845
2000.25,2000Q1,UK,76.3,386289,116596,63453,257460,71299,6.2008
2000.5,2000Q2,UK,76.8,390171,103923,65054,258880,73041,6.2756
2000.75,2000Q3,UK,77,393689,109359,66736,261524,72951,6.2052
2001,2001Q4,UK,77.1,395069,100004,67410,263030,71521,6.0681
2001.25,2001Q1,UK,78.2,399094,121424,69434,266339,70983,5.7179
2001.5,2001Q2,UK,78.8,407753,105920,69013,268904,79889,5.3039
2001.75,2001Q3,UK,79.5,408766,110846,71317,273099,74689,4.9935
2002,2002Q4,UK,79.8,412213,101550,73691,272781,73513,4.1585
2002.25,2002Q1,UK,80.1,416571,123474,75257,276939,74730,4.0767
2002.5,2002Q2,UK,80.5,421990,105157,77076,278964,77876,4.1682
2002.75,2002Q3,UK,81.1,428154,113034,78130,281413,78047,4.0119
2003,2003Q4,UK,81.8,506500,123473,92095,332763,95752,3.9844
2003.25,2003Q1,UK,82.4,513260,146627,94812,336070,91972,3.7973
2003.5,2003Q2,UK,83.2,519027,129625,98642,341135,90883,3.6394
2003.75,2003Q3,UK,84,527503,136743,99763,346085,93253,3.5698
2004,2004Q4,UK,84.7,643202,158924,122488,418724,117992,3.9342
2004.25,2004Q1,UK,85.2,647834,190924,123380,423412,117138,4.1729
2004.5,2004Q2,UK,85.5,659224,163040,127954,429038,120284,4.5711
2004.75,2004Q3,UK,85.6,662340,178288,130246,434028,117628,4.9223
2005,2005Q4,UK,85.9,670858,172234,133058,440760,110618,4.8851
2005.25,2005Q1,UK,86.6,677632,204806,132714,446446,117502,4.9171
2005.5,2005Q2,UK,87.7,695932,174592,137500,448786,124296,4.8929
2005.75,2005Q3,UK,88.7,700566,192744,138820,455002,123858,4.6165
2006,2006Q4,UK,90,718418,182548,141072,461268,132376,4.6143
2006.25,2006Q1,UK,90.4,725354,221058,143838,462374,136928,4.591
2006.5,2006Q2,UK,90.6,735276,186760,145048,470500,134728,4.6887
2006.75,2006Q3,UK,90.7,741224,202880,146842,476954,130274,4.9008
2007,2007Q4,UK,91.2,747992,191612,148816,479308,134820,5.2163
